Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2010,IA,Full-Service Providers,"14,554,888","12,025,276","18,865,105",0,NA,45445269
2010,ID,Full-Service Providers,"8,136,736","5,864,885","8,796,047",0,NA,22797668
2010,IL,Full-Service Providers,"48,575,888","22,821,352","6,474,299","18,993",NA,77890532
2010,IN,Full-Service Providers,"35,058,372","24,364,616","46,551,671","19,717",NA,105994376
2010,KS,Full-Service Providers,"14,334,086","15,435,825","10,650,764",0,NA,40420675
2010,KY,Full-Service Providers,"29,136,518","19,410,547","45,022,361",0,NA,93569426
2010,LA,Full-Service Providers,"32,678,931","24,203,161","28,186,816","10,784",NA,85079692
2010,MA,Full-Service Providers,"19,132,222","8,140,920","4,549,800",0,NA,31822942
2010,MD,Full-Service Providers,"26,615,175","8,678,037","789,261",0,NA,36082473
2010,ME,Full-Service Providers,"76,789","44,871","29,928",0,NA,151588
2010,MI,Full-Service Providers,"34,679,678","33,730,671","26,150,078","4,820",NA,94565247
2010,MN,Full-Service Providers,"22,464,797","22,515,351","22,797,763","21,795",NA,67799706
2010,MO,Full-Service Providers,"37,302,279","31,430,653","17,330,169","22,016",NA,86085117
2010,MS,Full-Service Providers,"20,174,826","13,804,962","15,707,378",0,NA,49687166
2010,MT,Full-Service Providers,"4,742,674","4,620,432","1,788,631",0,NA,11151737
2010,NC,Full-Service Providers,"62,160,107","47,931,940","26,315,850","7,050",NA,136414947
2010,ND,Full-Service Providers,"4,392,596","4,714,115","3,849,552",0,NA,12956263
2010,NE,Full-Service Providers,"10,106,673","9,532,438","10,210,349",0,NA,29849460
2010,NH,Full-Service Providers,"4,474,789","2,725,768","512,381",0,NA,7712938
2010,NJ,Full-Service Providers,"29,927,011","18,426,101","2,128,923",0,NA,50482035
2010,NM,Full-Service Providers,"6,752,473","9,015,729","6,660,142",0,NA,22428344
2010,NV,Full-Service Providers,"11,614,669","8,692,710","12,033,009","8,491",NA,32348879
2010,NY,Full-Service Providers,"43,315,172","30,744,857","4,749,176","310,564",NA,79119769
2010,OH,Full-Service Providers,"44,252,697","28,519,152","32,550,166","7,782",NA,105329797
2010,OK,Full-Service Providers,"23,688,861","19,005,132","15,151,987",0,NA,57845980
2010,OR,Full-Service Providers,"18,838,666","15,005,042","10,656,886","25,271",NA,44525865
2010,PA,Full-Service Providers,"50,228,983","30,641,729","33,140,292","776,413",NA,114787417
2010,RI,Full-Service Providers,"3,103,204","1,949,206","299,438",0,NA,5351848
2010,SC,Full-Service Providers,"32,852,086","22,320,133","27,307,074",0,NA,82479293
2010,SD,Full-Service Providers,"4,628,123","4,367,781","2,360,245",0,NA,11356149
2010,TN,Full-Service Providers,"45,191,027","29,399,025","28,929,637","1,848",NA,103521537
2010,TX,Full-Service Providers,"137,161,402","121,467,292","99,754,412","74,444",NA,358457550
2010,UT,Full-Service Providers,"8,834,230","10,367,847","8,808,211","33,713",NA,28044001
2010,VA,Full-Service Providers,"48,438,958","48,036,984","17,141,224","188,969",NA,113806135
2010,VT,Full-Service Providers,"2,127,935","2,020,937","1,445,961",0,NA,5594833
2010,WA,Full-Service Providers,"34,906,926","28,759,930","24,443,153","6,949",NA,88116958
2010,WI,Full-Service Providers,"22,299,493","23,001,117","23,451,807",0,NA,68752417
2010,WV,Full-Service Providers,"12,442,583","7,961,906","11,622,934","4,380",NA,32031803
2010,WY,Full-Service Providers,"2,727,201","4,317,140","10,069,117",0,NA,17113458
2010,US,Full-Service Providers,"1,409,355,244","1,123,328,313","840,439,791","2,440,567",NA,3375563915
2010,CA,Energy-Only Providers,"171,807","9,791,183","7,264,485","349,266",NA,17576741
2010,CT,Energy-Only Providers,"3,805,759","10,026,420","2,778,344","66,285",NA,16676808
2010,DC,Energy-Only Providers,"109,268","7,835,040","229,597","314,600",NA,8488505
2010,DE,Energy-Only Providers,"85,793","2,551,459","1,386,141",0,NA,4023393
2010,ID,Energy-Only Providers,0,0,0,0,NA,0
2010,IL,Energy-Only Providers,"7,096","28,616,062","37,705,826","541,158",NA,66870142
2010,MA,Energy-Only Providers,"2,276,783","10,102,278","12,566,357","355,062",NA,25300480
2010,MD,Energy-Only Providers,"2,318,899","22,093,280","4,293,854","546,992",NA,29253025
2010,ME,Energy-Only Providers,"4,295,046","4,056,035","3,028,899",0,NA,11379980
2010,MI,Energy-Only Providers,"1,037","4,392,500","4,690,435",0,NA,9083972
2010,MT,Energy-Only Providers,120,"168,750","2,450,846",0,NA,2619716
2010,NH,Energy-Only Providers,"10,680","1,736,670","1,429,786",0,NA,3177136
2010,NJ,Energy-Only Providers,"380,257","21,696,446","6,299,716","320,973",NA,28697392
2010,NV,Energy-Only Providers,0,"277,017","1,146,699",0,NA,1423716
2010,NY,Energy-Only Providers,"7,630,476","46,530,819","8,731,286","2,611,223",NA,65503804
2010,OH,Energy-Only Providers,"10,221,680","18,006,475","20,559,202","28,264",NA,48815621
2010,OR,Energy-Only Providers,0,"448,546","1,051,534",0,NA,1500080
2010,PA,Energy-Only Providers,"5,023,854","16,724,637","12,317,335","110,725",NA,34176551
2010,RI,Energy-Only Providers,"14,604","1,744,083","661,395","27,297",NA,2447379
2010,WA,Energy-Only Providers,0,"73,351","2,189,661",0,NA,2263012
2010,US,Energy-Only Providers,"36,353,159","206,871,051","130,781,398","5,271,845",NA,379277453
2009,AK,Total Electric Industry,"2,117,393","2,841,337","1,311,441",0,NA,6270171
2009,AL,Total Electric Industry,"31,489,411","21,918,478","29,436,713",0,NA,82844602
2009,AR,Total Electric Industry,"16,985,526","11,476,900","14,710,294",384,NA,43173104
2009,AZ,Total Electric Industry,"32,846,843","29,385,690","11,200,396",0,NA,73432929
