Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2016,DE,Total Electric Industry,"4,763,106","4,235,231","2,260,101",0,NA,11258438
2016,FL,Total Electric Industry,"123,320,547","95,547,214","16,758,825","95,236",NA,235721822
2016,GA,Total Electric Industry,"57,889,379","47,761,768","32,290,121","170,971",NA,138112239
2016,HI,Total Electric Industry,"2,611,727","3,111,282","3,722,380",0,NA,9445389
2016,IA,Total Electric Industry,"14,093,678","12,291,332","22,046,183",0,NA,48431193
2016,ID,Total Electric Industry,"8,172,022","6,279,129","8,611,810",0,NA,23062961
2016,IL,Total Electric Industry,"45,990,052","50,910,054","43,631,754","518,549",NA,141050409
2016,IN,Total Electric Industry,"33,025,955","24,228,779","46,429,174","20,913",NA,103704821
2016,KS,Total Electric Industry,"13,509,235","15,887,392","11,413,547",0,NA,40810174
2016,KY,Total Electric Industry,"26,338,437","19,981,122","28,234,016",0,NA,74553575
2016,LA,Total Electric Industry,"30,650,067","24,895,713","35,894,652","12,227",NA,91452659
2016,MA,Total Electric Industry,"19,692,896","25,933,809","7,507,380","341,803",NA,53475888
2016,MD,Total Electric Industry,"27,316,871","29,675,993","3,821,476","539,571",NA,61353911
2016,ME,Total Electric Industry,"4,585,825","3,986,488","2,876,638",0,NA,11448951
2016,MI,Total Electric Industry,"34,543,262","38,985,906","30,934,422","4,223",NA,104467813
2016,MN,Total Electric Industry,"21,803,791","23,501,739","21,216,798","24,164",NA,66546492
2016,MO,Total Electric Industry,"34,354,932","30,728,480","13,513,245","21,399",NA,78618056
2016,MS,Total Electric Industry,"18,458,928","14,522,538","16,068,698",0,NA,49050164
2016,MT,Total Electric Industry,"4,852,547","4,831,636","4,416,418",0,NA,14100601
2016,NC,Total Electric Industry,"58,456,809","48,604,221","27,336,887","6,402",NA,134404319
2016,ND,Total Electric Industry,"4,741,298","6,346,158","7,432,732",0,NA,18520188
2016,NE,Total Electric Industry,"9,738,351","9,306,827","11,154,176",0,NA,30199354
2016,NH,Total Electric Industry,"4,438,407","4,466,192","2,000,357",0,NA,10904956
2016,NJ,Total Electric Industry,"29,090,726","38,672,407","7,293,070","303,168",NA,75359371
2016,NM,Total Electric Industry,"6,642,511","8,805,876","7,591,160",0,NA,23039547
2016,NV,Total Electric Industry,"12,691,942","9,929,076","13,515,234","8,378",NA,36144630
2016,NY,Total Electric Industry,"50,831,287","76,506,968","17,709,218","2,755,565",NA,147803038
2016,OH,Total Electric Industry,"52,524,141","47,742,269","50,290,693","40,693",NA,150597796
2016,OK,Total Electric Industry,"22,789,715","20,695,703","18,031,136",0,NA,61516554
2016,OR,Total Electric Industry,"18,573,242","16,060,478","12,691,616","24,014",NA,47349350
2016,PA,Total Electric Industry,"53,877,130","43,535,432","47,127,932","787,189",NA,145327683
2016,RI,Total Electric Industry,"3,081,562","3,651,317","764,295","27,096",NA,7524270
2016,SC,Total Electric Industry,"30,615,596","22,274,962","26,686,992",0,NA,79577550
2016,SD,Total Electric Industry,"4,618,724","4,698,053","2,812,753",0,NA,12129530
2016,TN,Total Electric Industry,"41,773,888","35,438,903","23,545,648",0,NA,100758439
2016,TX,Total Electric Industry,"145,973,181","139,104,274","113,402,713","181,641",NA,398661809
2016,UT,Total Electric Industry,"9,370,656","11,565,312","9,186,991","56,575",NA,30179534
2016,VA,Total Electric Industry,"45,186,057","49,263,847","17,648,014","182,747",NA,112280665
2016,VT,Total Electric Industry,"2,056,402","2,014,045","1,446,003",0,NA,5516450
2016,WA,Total Electric Industry,"34,211,748","28,989,062","25,678,420","6,086",NA,88885316
2016,WI,Total Electric Industry,"21,814,249","23,884,088","24,037,811",190,NA,69736338
2016,WV,Total Electric Industry,"11,375,581","7,825,670","12,874,895",0,NA,32076146
2016,WY,Total Electric Industry,"2,751,073","3,762,315","10,041,482",0,NA,16554870
2016,US,Total Electric Industry,"1,411,058,153","1,367,191,386","976,715,181","7,496,910",NA,3762461630
2016,AK,Full-Service Providers,"2,006,392","2,731,499","1,385,311",0,NA,6123202
2016,AL,Full-Service Providers,"32,055,546","23,634,474","32,535,121",0,NA,88225141
2016,AR,Full-Service Providers,"17,784,233","12,177,633","16,226,147",425,NA,46188438
2016,AZ,Full-Service Providers,"33,690,783","29,564,157","14,975,656","7,232",NA,78237828
2016,CA,Full-Service Providers,"86,220,494","100,281,511","40,650,539","409,530",NA,227562074
2016,CO,Full-Service Providers,"18,833,722","20,800,136","15,103,434","64,745",NA,54802037
2016,CT,Full-Service Providers,"8,503,656","3,012,342","855,178","13,560",NA,12384736
2016,DC,Full-Service Providers,"1,907,958","1,141,861",0,68,NA,3049887
2016,DE,Full-Service Providers,"4,430,196","1,657,988","901,971",0,NA,6990155
2016,FL,Full-Service Providers,"123,320,547","95,547,214","16,758,825","95,236",NA,235721822
2016,GA,Full-Service Providers,"57,889,379","47,761,768","32,290,121","170,971",NA,138112239
2016,HI,Full-Service Providers,"2,611,727","3,111,282","3,722,380",0,NA,9445389
2016,IA,Full-Service Providers,"14,093,678","12,291,332","22,046,183",0,NA,48431193
2016,ID,Full-Service Providers,"8,172,022","6,279,129","8,611,810",0,NA,23062961
2016,IL,Full-Service Providers,"27,105,283","16,147,681","5,981,680",0,NA,49234644
2016,IN,Full-Service Providers,"33,025,955","24,228,779","46,429,174","20,913",NA,103704821
2016,KS,Full-Service Providers,"13,509,235","15,887,392","11,413,547",0,NA,40810174
2016,KY,Full-Service Providers,"26,338,437","19,981,122","28,234,016",0,NA,74553575
2016,LA,Full-Service Providers,"30,650,067","24,895,713","35,894,652","12,227",NA,91452659
2016,MA,Full-Service Providers,"13,250,760","6,583,460","2,965,212",0,NA,22799432
2016,MD,Full-Service Providers,"21,887,824","7,001,692","442,291",0,NA,29331807
2016,ME,Full-Service Providers,"3,789,522","1,720,365","297,003",0,NA,5806890
2016,MI,Full-Service Providers,"34,542,844","34,913,596","25,891,023","4,223",NA,95351686
2016,MN,Full-Service Providers,"21,803,791","23,501,739","21,216,798","24,164",NA,66546492
2016,MO,Full-Service Providers,"34,354,932","30,728,480","13,513,245","21,399",NA,78618056
2016,MS,Full-Service Providers,"18,458,928","14,522,538","16,068,698",0,NA,49050164
2016,MT,Full-Service Providers,"4,852,537","4,689,679","1,823,492",0,NA,11365708
2016,NC,Full-Service Providers,"58,456,809","48,604,221","27,336,887","6,402",NA,134404319
2016,ND,Full-Service Providers,"4,741,298","6,346,158","7,432,732",0,NA,18520188
2016,NE,Full-Service Providers,"9,738,351","9,306,827","11,154,176",0,NA,30199354
2016,NH,Full-Service Providers,"3,637,031","1,501,045","241,470",0,NA,5379546
2016,NJ,Full-Service Providers,"24,985,251","12,632,251","1,583,150","10,350",NA,39211002
2016,NM,Full-Service Providers,"6,642,511","8,805,876","7,591,160",0,NA,23039547
2016,NV,Full-Service Providers,"12,691,942","8,650,848","12,153,021","8,378",NA,33504189
2016,NY,Full-Service Providers,"41,568,579","25,555,121","2,968,037","338,752",NA,70430489
2016,OH,Full-Service Providers,"29,737,702","10,396,327","9,198,366","3,647",NA,49336042
2016,OK,Full-Service Providers,"22,789,715","20,695,703","18,031,136",0,NA,61516554
2016,OR,Full-Service Providers,"18,573,242","15,326,671","11,413,308","24,014",NA,45337235
2016,PA,Full-Service Providers,"34,979,135","9,633,918","2,328,458",0,NA,46941511
2016,RI,Full-Service Providers,"2,734,247","1,145,248","144,089",0,NA,4023584
2016,SC,Full-Service Providers,"30,615,596","22,274,962","26,686,992",0,NA,79577550
2016,SD,Full-Service Providers,"4,618,724","4,698,053","2,812,753",0,NA,12129530
2016,TN,Full-Service Providers,"41,773,888","35,438,903","23,545,648",0,NA,100758439
2016,TX,Full-Service Providers,"145,973,181","139,104,274","113,402,713","181,641",NA,398661809
2016,UT,Full-Service Providers,"9,370,656","11,565,312","9,186,991","56,575",NA,30179534
2016,VA,Full-Service Providers,"45,186,057","49,064,780","17,215,660","182,747",NA,111649244
2016,VT,Full-Service Providers,"2,056,402","2,014,045","1,446,003",0,NA,5516450
2016,WA,Full-Service Providers,"34,211,748","28,929,999","23,651,909","6,086",NA,86799742
2016,WI,Full-Service Providers,"21,814,249","23,884,088","24,037,811",190,NA,69736338
2016,WV,Full-Service Providers,"11,375,581","7,825,670","12,874,895",0,NA,32076146
2016,WY,Full-Service Providers,"2,751,073","3,762,315","10,041,482",0,NA,16554870
2016,US,Full-Service Providers,"1,316,113,416","1,091,957,177","792,712,354","1,663,475",NA,3202446422
2016,CA,Energy-Only Providers,"2,090,575","16,493,173","10,328,585","372,228",NA,29284561
2016,CT,Energy-Only Providers,"4,173,327","9,688,922","2,514,890","169,212",NA,16546351
2016,DC,Energy-Only Providers,"593,934","7,226,618","192,454","331,110",NA,8344116
2016,DE,Energy-Only Providers,"332,910","2,577,243","1,358,130",0,NA,4268283
2016,IL,Energy-Only Providers,"18,884,769","34,762,373","37,650,074","518,549",NA,91815765
2016,MA,Energy-Only Providers,"6,442,136","19,350,349","4,542,168","341,803",NA,30676456
2016,MD,Energy-Only Providers,"5,429,047","22,674,301","3,379,185","539,571",NA,32022104
2016,ME,Energy-Only Providers,"796,303","2,266,123","2,579,635",0,NA,5642061
2016,MI,Energy-Only Providers,418,"4,072,310","5,043,399",0,NA,9116127
2016,MT,Energy-Only Providers,10,"141,957","2,592,926",0,NA,2734893
2016,NH,Energy-Only Providers,"801,376","2,965,147","1,758,887",0,NA,5525410
2016,NJ,Energy-Only Providers,"4,105,475","26,040,156","5,709,920","292,818",NA,36148369
2016,NV,Energy-Only Providers,0,"1,278,228","1,362,213",0,NA,2640441
2016,NY,Energy-Only Providers,"9,262,708","50,951,847","14,741,181","2,416,813",NA,77372549
2016,OH,Energy-Only Providers,"22,786,439","37,345,942","41,092,327","37,046",NA,101261754
2016,OR,Energy-Only Providers,0,"733,807","1,278,308",0,NA,2012115
2016,PA,Energy-Only Providers,"18,897,995","33,901,514","44,799,474","787,189",NA,98386172
2016,RI,Energy-Only Providers,"347,315","2,506,069","620,206","27,096",NA,3500686
2016,VA,Energy-Only Providers,0,"199,067","432,354",0,NA,631421
2016,WA,Energy-Only Providers,0,"59,063","2,026,511",0,NA,2085574
2016,US,Energy-Only Providers,"94,944,737","275,234,209","184,002,827","5,833,435",NA,560015208
2015,AK,Total Electric Industry,"2,044,184","2,763,491","1,351,529",0,NA,6159204
2015,AL,Total Electric Industry,"31,908,530","23,437,831","33,499,182",0,NA,88845543
2015,AR,Total Electric Industry,"18,273,389","12,153,236","16,038,092",437,NA,46465154
2015,AZ,Total Electric Industry,"33,167,205","29,284,431","14,891,564","6,216",NA,77349416
2015,CA,Total Electric Industry,"89,386,373","118,384,093","52,562,210","837,761",NA,261170437
2015,CO,Total Electric Industry,"18,384,936","20,408,085","15,258,761","64,264",NA,54116046
2015,CT,Total Electric Industry,"12,892,862","12,958,570","3,432,002","192,721",NA,29476155
2015,DC,Total Electric Industry,"2,497,559","8,221,610","238,232","333,832",NA,11291233
2015,DE,Total Electric Industry,"4,848,998","4,219,085","2,430,122",0,NA,11498205
2015,FL,Total Electric Industry,"122,759,472","95,847,051","16,897,415","95,460",NA,235599398
2015,GA,Total Electric Industry,"56,421,650","47,151,316","32,134,396","170,853",NA,135878215
2015,HI,Total Electric Industry,"2,641,336","3,174,462","3,695,554",0,NA,9511352
2015,IA,Total Electric Industry,"13,786,328","12,071,781","21,289,184",0,NA,47147293
2015,ID,Total Electric Industry,"8,054,693","6,263,642","8,740,479",0,NA,23058814
2015,IL,Total Electric Industry,"44,645,638","50,319,815","43,130,671","523,846",NA,138619970
